
Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:18:55 2025
Timers Off: Sun Dec  7 11:27:41 2025

Wall Time:      525.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.383u      0.000s      0.761w     39 calls
Libint2ERI::Libint2ERI              :      3.817u      0.050s      0.995w    234 calls
DFH: initialize()                   :     62.550u      6.100s     10.369w     39 calls
DFH: AO Construction                :     16.133u      1.400s      2.628w     39 calls
DFH: AO-Met. Contraction            :     16.350u      3.600s      2.986w     39 calls
HF: Form core H                     :      1.083u      0.033s      0.168w     39 calls
HF: Form S/X                        :      0.517u      0.000s      0.078w     39 calls
HF: Guess                           :     11.100u      0.317s      1.725w     39 calls
SAD Guess                           :     10.900u      0.317s      1.691w     39 calls
HF: Form G                          :    592.983u      4.683s     89.530w    486 calls
RV: Form V                          :    529.300u      0.217s     79.311w    486 calls
Properties                          :     89.941p                         1154285 calls
Functional                          :     55.485p                         1154285 calls
V_xc                                :    170.193p                         1154285 calls
JK: D                               :      0.050u      0.000s      0.023w    486 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    486 calls
JK: JK                              :     62.700u      4.433s     10.082w    486 calls
DFH: compute_JK()                   :     62.350u      4.433s     10.060w    486 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    486 calls
DFH: compute_J                      :     10.017u      0.050s      1.536w    486 calls
DFH: compute_K                      :     32.267u      0.067s      4.971w    486 calls
JK: AO2USO                          :      0.033u      0.000s      0.000w    486 calls
HF: Form F                          :      0.150u      0.000s      0.021w    486 calls
HF: Form D                          :      0.033u      0.000s      0.014w    486 calls
HF: DIIS                            :     11.917u      0.850s      1.907w    447 calls
HF: Form C                          :      5.900u      0.100s      0.886w    447 calls

--------------------------------------------------------------------------------------
V: Grid                             :     56.733u      0.700s      8.610w     39 calls
| build grid                        :     32.483u      0.167s      4.901w     39 calls
| post-process grid                 :     24.217u      0.533s      3.704w     39 calls
DFH: sparsity prep                  :      1.383u      0.000s      0.761w     39 calls
| Libint2ERI::Libint2ERI            :      0.833u      0.000s      0.507w     39 calls
DFH: initialize()                   :     62.550u      6.100s     10.369w     39 calls
| Libint2ERI::Libint2ERI            :      2.983u      0.050s      0.487w    195 calls
| DFH: AO Construction              :     16.133u      1.400s      2.628w     39 calls
| DFH: AO-Met. Contraction          :     16.350u      3.600s      2.986w     39 calls
HF: Form core H                     :      1.083u      0.033s      0.168w     39 calls
HF: Form S/X                        :      0.517u      0.000s      0.078w     39 calls
HF: Guess                           :     11.100u      0.317s      1.725w     39 calls
| SAD Guess                         :     10.900u      0.317s      1.691w     39 calls
HF: Form G                          :    592.983u      4.683s     89.530w    486 calls
| RV: Form V                        :    529.300u      0.217s     79.311w    486 calls
| | Properties                      :     89.941p                         1154285 calls
| | Functional                      :     55.485p                         1154285 calls
| | V_xc                            :    170.193p                         1154285 calls
| JK: D                             :      0.050u      0.000s      0.023w    486 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w    486 calls
| JK: JK                            :     62.700u      4.433s     10.082w    486 calls
| | DFH: compute_JK()               :     62.350u      4.433s     10.060w    486 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    486 calls
| | | DFH: compute_J                :     10.017u      0.050s      1.536w    486 calls
| | | DFH: compute_K                :     32.267u      0.067s      4.971w    486 calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w    486 calls
HF: Form F                          :      0.150u      0.000s      0.021w    486 calls
HF: Form D                          :      0.033u      0.000s      0.014w    486 calls
HF: DIIS                            :     11.917u      0.850s      1.907w    447 calls
HF: Form C                          :      5.900u      0.100s      0.886w    447 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:59:16 2025
Timers Off: Sun Dec  7 12:08:07 2025

Wall Time:      530.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     13.267u      0.167s      2.016w      6 calls
build grid                          :      8.050u      0.050s      1.213w      6 calls
post-process grid                   :      5.217u      0.117s      0.802w      6 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.129w      6 calls
Libint2ERI::Libint2ERI              :      0.633u      0.017s      0.164w     36 calls
DFH: initialize()                   :     12.100u      1.083s      1.989w      6 calls
DFH: AO Construction                :      3.267u      0.200s      0.517w      6 calls
DFH: AO-Met. Contraction            :      3.300u      0.700s      0.602w      6 calls
HF: Form core H                     :      0.217u      0.000s      0.033w      6 calls
HF: Form S/X                        :      0.100u      0.000s      0.014w      6 calls
HF: Guess                           :      1.250u      0.083s      0.204w      6 calls
SAD Guess                           :      1.217u      0.083s      0.199w      6 calls
HF: Form G                          :     97.350u      0.983s     14.714w     66 calls
RV: Form V                          :     85.683u      0.067s     12.840w     66 calls
Properties                          :     15.353p                         189827 calls
Functional                          :      9.164p                         189827 calls
V_xc                                :     26.592p                         189827 calls
JK: D                               :      0.017u      0.000s      0.003w     66 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     66 calls
JK: JK                              :     11.450u      0.900s      1.853w     66 calls
DFH: compute_JK()                   :     11.400u      0.900s      1.849w     66 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w     66 calls
DFH: compute_J                      :      1.667u      0.000s      0.260w     66 calls
DFH: compute_K                      :      5.967u      0.000s      0.891w     66 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     66 calls
HF: Form F                          :      0.000u      0.000s      0.003w     66 calls
HF: Form D                          :      0.000u      0.000s      0.002w     66 calls
HF: DIIS                            :      1.533u      0.133s      0.261w     60 calls
HF: Form C                          :      0.917u      0.000s      0.133w     60 calls

--------------------------------------------------------------------------------------
V: Grid                             :     13.267u      0.167s      2.016w      6 calls
| build grid                        :      8.050u      0.050s      1.213w      6 calls
| post-process grid                 :      5.217u      0.117s      0.802w      6 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.129w      6 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.086w      6 calls
DFH: initialize()                   :     12.100u      1.083s      1.989w      6 calls
| Libint2ERI::Libint2ERI            :      0.500u      0.017s      0.079w     30 calls
| DFH: AO Construction              :      3.267u      0.200s      0.517w      6 calls
| DFH: AO-Met. Contraction          :      3.300u      0.700s      0.602w      6 calls
HF: Form core H                     :      0.217u      0.000s      0.033w      6 calls
HF: Form S/X                        :      0.100u      0.000s      0.014w      6 calls
HF: Guess                           :      1.250u      0.083s      0.204w      6 calls
| SAD Guess                         :      1.217u      0.083s      0.199w      6 calls
HF: Form G                          :     97.350u      0.983s     14.714w     66 calls
| RV: Form V                        :     85.683u      0.067s     12.840w     66 calls
| | Properties                      :     15.353p                         189827 calls
| | Functional                      :      9.164p                         189827 calls
| | V_xc                            :     26.592p                         189827 calls
| JK: D                             :      0.017u      0.000s      0.003w     66 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     66 calls
| JK: JK                            :     11.450u      0.900s      1.853w     66 calls
| | DFH: compute_JK()               :     11.400u      0.900s      1.849w     66 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     66 calls
| | | DFH: compute_J                :      1.667u      0.000s      0.260w     66 calls
| | | DFH: compute_K                :      5.967u      0.000s      0.891w     66 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     66 calls
HF: Form F                          :      0.000u      0.000s      0.003w     66 calls
HF: Form D                          :      0.000u      0.000s      0.002w     66 calls
HF: DIIS                            :      1.533u      0.133s      0.261w     60 calls
HF: Form C                          :      0.917u      0.000s      0.133w     60 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:06:19 2025
Timers Off: Sun Dec  7 12:11:13 2025

Wall Time:      294.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     54.350u      0.867s      8.360w     36 calls
build grid                          :     31.183u      0.233s      4.706w     36 calls
post-process grid                   :     23.117u      0.633s      3.648w     36 calls
DFH: sparsity prep                  :      1.483u      0.033s      0.819w     36 calls
Libint2ERI::Libint2ERI              :      4.200u      0.183s      1.094w    216 calls
DFH: initialize()                   :     77.183u      7.033s     13.255w     36 calls
DFH: AO Construction                :     19.183u      1.433s      3.160w     36 calls
DFH: AO-Met. Contraction            :     17.517u      4.033s      3.269w     36 calls
HF: Form core H                     :      1.283u      0.033s      0.209w     36 calls
HF: Form S/X                        :      0.633u      0.017s      0.099w     36 calls
HF: Guess                           :     13.200u      0.700s      2.076w     36 calls
SAD Guess                           :     12.933u      0.683s      2.040w     36 calls
HF: Form G                          :    731.867u      5.867s    110.684w    453 calls
RV: Form V                          :    664.067u      0.517s     99.695w    453 calls
Properties                          :     97.200p                         1056499 calls
Functional                          :     56.316p                         1056499 calls
V_xc                                :    242.831p                         1056499 calls
JK: D                               :      0.083u      0.000s      0.027w    453 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w    453 calls
JK: JK                              :     66.800u      5.317s     10.795w    453 calls
DFH: compute_JK()                   :     66.600u      5.300s     10.771w    453 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    453 calls
DFH: compute_J                      :     10.917u      0.017s      1.634w    453 calls
DFH: compute_K                      :     34.667u      0.217s      5.312w    453 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    453 calls
HF: Form F                          :      0.167u      0.000s      0.024w    453 calls
HF: Form D                          :      0.117u      0.000s      0.021w    453 calls
HF: DIIS                            :     13.967u      0.817s      2.273w    417 calls
HF: Form C                          :      7.050u      0.233s      1.093w    417 calls

--------------------------------------------------------------------------------------
V: Grid                             :     54.350u      0.867s      8.360w     36 calls
| build grid                        :     31.183u      0.233s      4.706w     36 calls
| post-process grid                 :     23.117u      0.633s      3.648w     36 calls
DFH: sparsity prep                  :      1.483u      0.033s      0.819w     36 calls
| Libint2ERI::Libint2ERI            :      1.033u      0.033s      0.551w     36 calls
DFH: initialize()                   :     77.183u      7.033s     13.255w     36 calls
| Libint2ERI::Libint2ERI            :      3.167u      0.150s      0.543w    180 calls
| DFH: AO Construction              :     19.183u      1.433s      3.160w     36 calls
| DFH: AO-Met. Contraction          :     17.517u      4.033s      3.269w     36 calls
HF: Form core H                     :      1.283u      0.033s      0.209w     36 calls
HF: Form S/X                        :      0.633u      0.017s      0.099w     36 calls
HF: Guess                           :     13.200u      0.700s      2.076w     36 calls
| SAD Guess                         :     12.933u      0.683s      2.040w     36 calls
HF: Form G                          :    731.867u      5.867s    110.684w    453 calls
| RV: Form V                        :    664.067u      0.517s     99.695w    453 calls
| | Properties                      :     97.200p                         1056499 calls
| | Functional                      :     56.316p                         1056499 calls
| | V_xc                            :    242.831p                         1056499 calls
| JK: D                             :      0.083u      0.000s      0.027w    453 calls
| JK: USO2AO                        :      0.017u      0.000s      0.003w    453 calls
| JK: JK                            :     66.800u      5.317s     10.795w    453 calls
| | DFH: compute_JK()               :     66.600u      5.300s     10.771w    453 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.001w    453 calls
| | | DFH: compute_J                :     10.917u      0.017s      1.634w    453 calls
| | | DFH: compute_K                :     34.667u      0.217s      5.312w    453 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    453 calls
HF: Form F                          :      0.167u      0.000s      0.024w    453 calls
HF: Form D                          :      0.117u      0.000s      0.021w    453 calls
HF: DIIS                            :     13.967u      0.817s      2.273w    417 calls
HF: Form C                          :      7.050u      0.233s      1.093w    417 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:08:12 2025
Timers Off: Sun Dec  7 12:16:28 2025

Wall Time:      496.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     16.033u      0.217s      2.442w      7 calls
build grid                          :      9.783u      0.067s      1.471w      7 calls
post-process grid                   :      6.250u      0.150s      0.970w      7 calls
DFH: sparsity prep                  :      0.233u      0.017s      0.155w      7 calls
Libint2ERI::Libint2ERI              :      0.750u      0.033s      0.199w     42 calls
DFH: initialize()                   :     19.450u      1.650s      3.195w      7 calls
DFH: AO Construction                :      5.450u      0.333s      0.868w      7 calls
DFH: AO-Met. Contraction            :      4.183u      1.000s      0.778w      7 calls
HF: Form core H                     :      0.317u      0.000s      0.049w      7 calls
HF: Form S/X                        :      0.133u      0.000s      0.021w      7 calls
HF: Guess                           :      2.050u      0.117s      0.331w      7 calls
SAD Guess                           :      2.000u      0.117s      0.325w      7 calls
HF: Form G                          :    209.017u      3.350s     31.857w     86 calls
RV: Form V                          :    187.533u      0.050s     28.135w     86 calls
Properties                          :     23.467p                         249410 calls
Functional                          :     12.345p                         249410 calls
V_xc                                :     76.203p                         249410 calls
JK: D                               :      0.000u      0.000s      0.006w     86 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     86 calls
JK: JK                              :     21.050u      3.300s      3.636w     86 calls
DFH: compute_JK()                   :     20.983u      3.300s      3.631w     86 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     86 calls
DFH: compute_J                      :      2.733u      0.000s      0.417w     86 calls
DFH: compute_K                      :      8.633u      0.067s      1.314w     86 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.017u      0.000s      0.005w     86 calls
HF: Form D                          :      0.000u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.683u      0.167s      0.434w     79 calls
HF: Form C                          :      1.417u      0.017s      0.218w     79 calls

--------------------------------------------------------------------------------------
V: Grid                             :     16.033u      0.217s      2.442w      7 calls
| build grid                        :      9.783u      0.067s      1.471w      7 calls
| post-process grid                 :      6.250u      0.150s      0.970w      7 calls
DFH: sparsity prep                  :      0.233u      0.017s      0.155w      7 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.017s      0.103w      7 calls
DFH: initialize()                   :     19.450u      1.650s      3.195w      7 calls
| Libint2ERI::Libint2ERI            :      0.583u      0.017s      0.096w     35 calls
| DFH: AO Construction              :      5.450u      0.333s      0.868w      7 calls
| DFH: AO-Met. Contraction          :      4.183u      1.000s      0.778w      7 calls
HF: Form core H                     :      0.317u      0.000s      0.049w      7 calls
HF: Form S/X                        :      0.133u      0.000s      0.021w      7 calls
HF: Guess                           :      2.050u      0.117s      0.331w      7 calls
| SAD Guess                         :      2.000u      0.117s      0.325w      7 calls
HF: Form G                          :    209.017u      3.350s     31.857w     86 calls
| RV: Form V                        :    187.533u      0.050s     28.135w     86 calls
| | Properties                      :     23.467p                         249410 calls
| | Functional                      :     12.345p                         249410 calls
| | V_xc                            :     76.203p                         249410 calls
| JK: D                             :      0.000u      0.000s      0.006w     86 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     86 calls
| JK: JK                            :     21.050u      3.300s      3.636w     86 calls
| | DFH: compute_JK()               :     20.983u      3.300s      3.631w     86 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     86 calls
| | | DFH: compute_J                :      2.733u      0.000s      0.417w     86 calls
| | | DFH: compute_K                :      8.633u      0.067s      1.314w     86 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.017u      0.000s      0.005w     86 calls
HF: Form D                          :      0.000u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.683u      0.167s      0.434w     79 calls
HF: Form C                          :      1.417u      0.017s      0.218w     79 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:16:33 2025
Timers Off: Sun Dec  7 12:24:14 2025

Wall Time:      460.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     17.683u      0.217s      2.686w      8 calls
build grid                          :     10.800u      0.067s      1.627w      8 calls
post-process grid                   :      6.883u      0.150s      1.058w      8 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.168w      8 calls
Libint2ERI::Libint2ERI              :      0.817u      0.017s      0.214w     48 calls
DFH: initialize()                   :     23.333u      2.133s      3.833w      8 calls
DFH: AO Construction                :      6.117u      0.600s      1.010w      8 calls
DFH: AO-Met. Contraction            :      4.550u      1.200s      0.862w      8 calls
HF: Form core H                     :      0.333u      0.000s      0.055w      8 calls
HF: Form S/X                        :      0.150u      0.000s      0.024w      8 calls
HF: Guess                           :      2.167u      0.133s      0.344w      8 calls
SAD Guess                           :      2.067u      0.117s      0.337w      8 calls
HF: Form G                          :    204.183u      2.700s     30.991w     86 calls
RV: Form V                          :    184.650u      0.150s     27.691w     86 calls
Properties                          :     23.595p                         247541 calls
Functional                          :     12.240p                         247541 calls
V_xc                                :     74.392p                         247541 calls
JK: D                               :      0.017u      0.000s      0.006w     86 calls
JK: USO2AO                          :      0.033u      0.000s      0.001w     86 calls
JK: JK                              :     19.383u      2.550s      3.266w     86 calls
DFH: compute_JK()                   :     19.317u      2.550s      3.262w     86 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     86 calls
DFH: compute_J                      :      2.700u      0.000s      0.409w     86 calls
DFH: compute_K                      :      8.650u      0.083s      1.335w     86 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.033u      0.000s      0.005w     86 calls
HF: Form D                          :      0.000u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.150u      0.200s      0.362w     78 calls
HF: Form C                          :      1.567u      0.017s      0.227w     78 calls

--------------------------------------------------------------------------------------
V: Grid                             :     17.683u      0.217s      2.686w      8 calls
| build grid                        :     10.800u      0.067s      1.627w      8 calls
| post-process grid                 :      6.883u      0.150s      1.058w      8 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.168w      8 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.110w      8 calls
DFH: initialize()                   :     23.333u      2.133s      3.833w      8 calls
| Libint2ERI::Libint2ERI            :      0.633u      0.017s      0.103w     40 calls
| DFH: AO Construction              :      6.117u      0.600s      1.010w      8 calls
| DFH: AO-Met. Contraction          :      4.550u      1.200s      0.862w      8 calls
HF: Form core H                     :      0.333u      0.000s      0.055w      8 calls
HF: Form S/X                        :      0.150u      0.000s      0.024w      8 calls
HF: Guess                           :      2.167u      0.133s      0.344w      8 calls
| SAD Guess                         :      2.067u      0.117s      0.337w      8 calls
HF: Form G                          :    204.183u      2.700s     30.991w     86 calls
| RV: Form V                        :    184.650u      0.150s     27.691w     86 calls
| | Properties                      :     23.595p                         247541 calls
| | Functional                      :     12.240p                         247541 calls
| | V_xc                            :     74.392p                         247541 calls
| JK: D                             :      0.017u      0.000s      0.006w     86 calls
| JK: USO2AO                        :      0.033u      0.000s      0.001w     86 calls
| JK: JK                            :     19.383u      2.550s      3.266w     86 calls
| | DFH: compute_JK()               :     19.317u      2.550s      3.262w     86 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     86 calls
| | | DFH: compute_J                :      2.700u      0.000s      0.409w     86 calls
| | | DFH: compute_K                :      8.650u      0.083s      1.335w     86 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.033u      0.000s      0.005w     86 calls
HF: Form D                          :      0.000u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.150u      0.200s      0.362w     78 calls
HF: Form C                          :      1.567u      0.017s      0.227w     78 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:24:19 2025
Timers Off: Sun Dec  7 12:31:46 2025

Wall Time:      446.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     17.167u      0.150s      2.606w      8 calls
build grid                          :     10.450u      0.033s      1.572w      8 calls
post-process grid                   :      6.717u      0.117s      1.033w      8 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.171w      8 calls
Libint2ERI::Libint2ERI              :      0.850u      0.017s      0.217w     48 calls
DFH: initialize()                   :     22.200u      1.983s      3.643w      8 calls
DFH: AO Construction                :      5.950u      0.400s      0.957w      8 calls
DFH: AO-Met. Contraction            :      4.517u      1.183s      0.858w      8 calls
HF: Form core H                     :      0.300u      0.000s      0.052w      8 calls
HF: Form S/X                        :      0.183u      0.000s      0.022w      8 calls
HF: Guess                           :      2.250u      0.133s      0.354w      8 calls
SAD Guess                           :      2.233u      0.133s      0.347w      8 calls
HF: Form G                          :    182.117u      1.983s     27.579w     86 calls
RV: Form V                          :    164.333u      0.117s     24.632w     86 calls
Properties                          :     21.263p                         245811 calls
Functional                          :     12.024p                         245811 calls
V_xc                                :     64.778p                         245811 calls
JK: D                               :      0.000u      0.000s      0.006w     86 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     86 calls
JK: JK                              :     17.617u      1.833s      2.914w     86 calls
DFH: compute_JK()                   :     17.600u      1.833s      2.909w     86 calls
DFH: Grabbing AOs                   :      0.033u      0.000s      0.000w     86 calls
DFH: compute_J                      :      2.550u      0.000s      0.397w     86 calls
DFH: compute_K                      :      8.517u      0.150s      1.299w     86 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.017u      0.000s      0.005w     86 calls
HF: Form D                          :      0.083u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.383u      0.117s      0.376w     78 calls
HF: Form C                          :      1.400u      0.000s      0.214w     78 calls

--------------------------------------------------------------------------------------
V: Grid                             :     17.167u      0.150s      2.606w      8 calls
| build grid                        :     10.450u      0.033s      1.572w      8 calls
| post-process grid                 :      6.717u      0.117s      1.033w      8 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.171w      8 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.112w      8 calls
DFH: initialize()                   :     22.200u      1.983s      3.643w      8 calls
| Libint2ERI::Libint2ERI            :      0.683u      0.017s      0.105w     40 calls
| DFH: AO Construction              :      5.950u      0.400s      0.957w      8 calls
| DFH: AO-Met. Contraction          :      4.517u      1.183s      0.858w      8 calls
HF: Form core H                     :      0.300u      0.000s      0.052w      8 calls
HF: Form S/X                        :      0.183u      0.000s      0.022w      8 calls
HF: Guess                           :      2.250u      0.133s      0.354w      8 calls
| SAD Guess                         :      2.233u      0.133s      0.347w      8 calls
HF: Form G                          :    182.117u      1.983s     27.579w     86 calls
| RV: Form V                        :    164.333u      0.117s     24.632w     86 calls
| | Properties                      :     21.263p                         245811 calls
| | Functional                      :     12.024p                         245811 calls
| | V_xc                            :     64.778p                         245811 calls
| JK: D                             :      0.000u      0.000s      0.006w     86 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     86 calls
| JK: JK                            :     17.617u      1.833s      2.914w     86 calls
| | DFH: compute_JK()               :     17.600u      1.833s      2.909w     86 calls
| | | DFH: Grabbing AOs             :      0.033u      0.000s      0.000w     86 calls
| | | DFH: compute_J                :      2.550u      0.000s      0.397w     86 calls
| | | DFH: compute_K                :      8.517u      0.150s      1.299w     86 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.017u      0.000s      0.005w     86 calls
HF: Form D                          :      0.083u      0.000s      0.005w     86 calls
HF: DIIS                            :      2.383u      0.117s      0.376w     78 calls
HF: Form C                          :      1.400u      0.000s      0.214w     78 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:31:51 2025
Timers Off: Sun Dec  7 12:39:12 2025

Wall Time:      441.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     17.617u      0.167s      2.676w      8 calls
build grid                          :     10.817u      0.050s      1.632w      8 calls
post-process grid                   :      6.783u      0.117s      1.044w      8 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.172w      8 calls
Libint2ERI::Libint2ERI              :      0.850u      0.017s      0.219w     48 calls
DFH: initialize()                   :     16.550u      1.800s      2.768w      8 calls
DFH: AO Construction                :      4.433u      0.483s      0.736w      8 calls
DFH: AO-Met. Contraction            :      4.533u      1.017s      0.829w      8 calls
HF: Form core H                     :      0.300u      0.000s      0.045w      8 calls
HF: Form S/X                        :      0.100u      0.000s      0.019w      8 calls
HF: Guess                           :      1.983u      0.100s      0.316w      8 calls
SAD Guess                           :      1.967u      0.083s      0.309w      8 calls
HF: Form G                          :    160.867u      2.433s     24.472w     96 calls
RV: Form V                          :    140.783u      0.033s     21.103w     96 calls
Properties                          :     23.488p                         274525 calls
Functional                          :     13.324p                         274525 calls
V_xc                                :     47.202p                         274525 calls
JK: D                               :      0.033u      0.000s      0.005w     96 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     96 calls
JK: JK                              :     19.967u      2.400s      3.338w     96 calls
DFH: compute_JK()                   :     19.917u      2.400s      3.333w     96 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     96 calls
DFH: compute_J                      :      2.600u      0.000s      0.391w     96 calls
DFH: compute_K                      :      9.200u      0.033s      1.398w     96 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     96 calls
HF: Form F                          :      0.033u      0.000s      0.005w     96 calls
HF: Form D                          :      0.000u      0.000s      0.003w     96 calls
HF: DIIS                            :      2.517u      0.167s      0.392w     88 calls
HF: Form C                          :      1.250u      0.017s      0.203w     88 calls

--------------------------------------------------------------------------------------
V: Grid                             :     17.617u      0.167s      2.676w      8 calls
| build grid                        :     10.817u      0.050s      1.632w      8 calls
| post-process grid                 :      6.783u      0.117s      1.044w      8 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.172w      8 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.113w      8 calls
DFH: initialize()                   :     16.550u      1.800s      2.768w      8 calls
| Libint2ERI::Libint2ERI            :      0.700u      0.017s      0.106w     40 calls
| DFH: AO Construction              :      4.433u      0.483s      0.736w      8 calls
| DFH: AO-Met. Contraction          :      4.533u      1.017s      0.829w      8 calls
HF: Form core H                     :      0.300u      0.000s      0.045w      8 calls
HF: Form S/X                        :      0.100u      0.000s      0.019w      8 calls
HF: Guess                           :      1.983u      0.100s      0.316w      8 calls
| SAD Guess                         :      1.967u      0.083s      0.309w      8 calls
HF: Form G                          :    160.867u      2.433s     24.472w     96 calls
| RV: Form V                        :    140.783u      0.033s     21.103w     96 calls
| | Properties                      :     23.488p                         274525 calls
| | Functional                      :     13.324p                         274525 calls
| | V_xc                            :     47.202p                         274525 calls
| JK: D                             :      0.033u      0.000s      0.005w     96 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     96 calls
| JK: JK                            :     19.967u      2.400s      3.338w     96 calls
| | DFH: compute_JK()               :     19.917u      2.400s      3.333w     96 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     96 calls
| | | DFH: compute_J                :      2.600u      0.000s      0.391w     96 calls
| | | DFH: compute_K                :      9.200u      0.033s      1.398w     96 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     96 calls
HF: Form F                          :      0.033u      0.000s      0.005w     96 calls
HF: Form D                          :      0.000u      0.000s      0.003w     96 calls
HF: DIIS                            :      2.517u      0.167s      0.392w     88 calls
HF: Form C                          :      1.250u      0.017s      0.203w     88 calls

**************************************************************************************

Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 12:39:16 2025
Timers Off: Sun Dec  7 12:46:35 2025

Wall Time:      438.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     14.750u      0.250s      2.252w      7 calls
build grid                          :      9.017u      0.067s      1.365w      7 calls
post-process grid                   :      5.717u      0.183s      0.885w      7 calls
DFH: sparsity prep                  :      0.233u      0.017s      0.150w      7 calls
Libint2ERI::Libint2ERI              :      0.750u      0.033s      0.191w     42 calls
DFH: initialize()                   :     14.500u      1.400s      2.394w      7 calls
DFH: AO Construction                :      3.917u      0.233s      0.633w      7 calls
DFH: AO-Met. Contraction            :      3.967u      0.917s      0.722w      7 calls
